player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
AV-0400,Adam,Vinatieri,Adam Vinatieri,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MB-4600,Matt,Bryant,Matt Bryant,K,7,14,10,1,3,4,3,6,-1,13,2,10,10,12,8,4
RG-1500,Robbie,Gould,Robbie Gould,K,5,4,4,7,7,5,6,7,13,2,10,7,3,3,0,0
MN-0800,Mike,Nugent,Mike Nugent,K,0,6,8,3,0,6,2,8,2,15,3,13,10,3,13,0
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,5,5,0,7,8,4,8,9,5,5,7,8,16,7,10,13
MP-2100,Matt,Prater,Matt Prater,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC-3000,Mason,Crosby,Mason Crosby,K,13,4,7,12,8,3,7,17,9,8,11,12,9,17,1,10
NF-0300,Nick,Folk,Nick Folk,K,9,14,10,5,16,9,6,8,8,4,10,15,4,5,9,6
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS-3400,Ryan,Succop,Ryan Succop,K,8,4,2,4,8,14,0,8,11,8,2,8,4,9,4,15
DB-0200,Dan,Bailey,Dan Bailey,K,6,9,21,13,11,12,1,12,15,9,8,9,10,6,1,2
KF-0250,Kai,Forbath,Kai Forbath,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB-4650,Randy,Bullock,Randy Bullock,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JT-3950,Justin,Tucker,Justin Tucker,K,16,16,7,5,9,7,11,6,14,7,10,9,4,6,15,6
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K,13,12,9,18,7,4,11,1,6,0,7,9,0,2,3,7
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM-0062,Brett,Maher,Brett Maher,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BM-1650,Brandon,McManus,Brandon McManus,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB-2275,Chris,Boswell,Chris Boswell,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP-0575,Cody,Parkey,Cody Parkey,K,12,11,15,3,10,10,10,8,9,8,21,14,2,11,6,8
CS-0250,Cairo,Santos,Cairo Santos,K,3,5,4,11,6,13,12,6,5,6,8,4,2,8,11,14
JL-0207,Josh,Lambo,Josh Lambo,K,9,7,2,14,10,8,9,10,7,5,7,5,2,5,9,0
TL-1062,Ty,Long,Ty Long,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JM-7000,Jason,Myers,Jason Myers,K,2,13,6,5,7,2,4,12,13,12,15,3,10,6,0,0
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF-0050,Sam,Ficken,Sam Ficken,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WL-0300,Wil,Lutz,Wil Lutz,K,9,7,8,5,13,2,16,12,4,8,6,8,10,12,12,9
AR-1450,Aldrick,Rosas,Aldrick Rosas,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HB-0500,Harrison,Butker,Harrison Butker,K,12,21,8,13,21,5,9,5,7,17,14,18,8,3,0,0
JE-0250,Jake,Elliott,Jake Elliott,K,9,11,18,10,11,13,9,10,1,8,3,14,10,8,11,7
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,4,4,4,0,0,6,12,3,6,1,10,3,3,5,4,8
YK-0100,Younghoe,Koo,Younghoe Koo,K,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MB-0020,Michael,Badgley,Michael Badgley,K,9,8,9,12,9,5,17,3,4,3,19,2,0,0,0,0
DC-0450,Daniel,Carlson,Daniel Carlson,K,7,0,4,3,7,12,6,12,6,13,11,5,0,0,0,0
GJ-1200,Greg,Joseph,Greg Joseph,K,8,8,6,6,2,7,5,3,5,1,10,6,8,6,0,0
EP-0512,Eddy,Pineiro,Eddy Pineiro,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JS-0350,Jason,Sanders,Jason Sanders,K,9,2,4,1,6,14,2,13,8,14,6,3,4,5,1,4
KV-0250,Kaare,Vedvik,Kaare Vedvik,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
