player,first,last,name,position1,2000-game1,2000-game2,2000-game3,2000-game4,2000-game5,2000-game6,2000-game7,2000-game8,2000-game9,2000-game10,2000-game11,2000-game12,2000-game13,2000-game14,2000-game15,2000-game16,2001-game1,2001-game2,2001-game3,2001-game4,2001-game5,2001-game6,2001-game7,2001-game8,2001-game9,2001-game10,2001-game11,2001-game12,2001-game13,2001-game14,2001-game15,2001-game16,2002-game1,2002-game2,2002-game3,2002-game4,2002-game5,2002-game6,2002-game7,2002-game8,2002-game9,2002-game10,2002-game11,2002-game12,2002-game13,2002-game14,2002-game15,2002-game16,2003-game1,2003-game2,2003-game3,2003-game4,2003-game5,2003-game6,2003-game7,2003-game8,2003-game9,2003-game10,2003-game11,2003-game12,2003-game13,2003-game14,2003-game15,2003-game16,2004-game1,2004-game2,2004-game3,2004-game4,2004-game5,2004-game6,2004-game7,2004-game8,2004-game9,2004-game10,2004-game11,2004-game12,2004-game13,2004-game14,2004-game15,2004-game16,2005-game1,2005-game2,2005-game3,2005-game4,2005-game5,2005-game6,2005-game7,2005-game8,2005-game9,2005-game10,2005-game11,2005-game12,2005-game13,2005-game14,2005-game15,2005-game16,2006-game1,2006-game2,2006-game3,2006-game4,2006-game5,2006-game6,2006-game7,2006-game8,2006-game9,2006-game10,2006-game11,2006-game12,2006-game13,2006-game14,2006-game15,2006-game16,2007-game1,2007-game2,2007-game3,2007-game4,2007-game5,2007-game6,2007-game7,2007-game8,2007-game9,2007-game10,2007-game11,2007-game12,2007-game13,2007-game14,2007-game15,2007-game16,2008-game1,2008-game2,2008-game3,2008-game4,2008-game5,2008-game6,2008-game7,2008-game8,2008-game9,2008-game10,2008-game11,2008-game12,2008-game13,2008-game14,2008-game15,2008-game16,2009-game1,2009-game2,2009-game3,2009-game4,2009-game5,2009-game6,2009-game7,2009-game8,2009-game9,2009-game10,2009-game11,2009-game12,2009-game13,2009-game14,2009-game15,2009-game16,2010-game1,2010-game2,2010-game3,2010-game4,2010-game5,2010-game6,2010-game7,2010-game8,2010-game9,2010-game10,2010-game11,2010-game12,2010-game13,2010-game14,2010-game15,2010-game16,2011-game1,2011-game2,2011-game3,2011-game4,2011-game5,2011-game6,2011-game7,2011-game8,2011-game9,2011-game10,2011-game11,2011-game12,2011-game13,2011-game14,2011-game15,2011-game16,2012-game1,2012-game2,2012-game3,2012-game4,2012-game5,2012-game6,2012-game7,2012-game8,2012-game9,2012-game10,2012-game11,2012-game12,2012-game13,2012-game14,2012-game15,2012-game16,2013-game1,2013-game2,2013-game3,2013-game4,2013-game5,2013-game6,2013-game7,2013-game8,2013-game9,2013-game10,2013-game11,2013-game12,2013-game13,2013-game14,2013-game15,2013-game16,2014-game1,2014-game2,2014-game3,2014-game4,2014-game5,2014-game6,2014-game7,2014-game8,2014-game9,2014-game10,2014-game11,2014-game12,2014-game13,2014-game14,2014-game15,2014-game16,2015-game1,2015-game2,2015-game3,2015-game4,2015-game5,2015-game6,2015-game7,2015-game8,2015-game9,2015-game10,2015-game11,2015-game12,2015-game13,2015-game14,2015-game15,2015-game16,2016-game1,2016-game2,2016-game3,2016-game4,2016-game5,2016-game6,2016-game7,2016-game8,2016-game9,2016-game10,2016-game11,2016-game12,2016-game13,2016-game14,2016-game15,2016-game16,2017-game1,2017-game2,2017-game3,2017-game4,2017-game5,2017-game6,2017-game7,2017-game8,2017-game9,2017-game10,2017-game11,2017-game12,2017-game13,2017-game14,2017-game15,2017-game16,2018-game1,2018-game2,2018-game3,2018-game4,2018-game5,2018-game6,2018-game7,2018-game8,2018-game9,2018-game10,2018-game11,2018-game12,2018-game13,2018-game14,2018-game15,2018-game16,2019-game1,2019-game2,2019-game3,2019-game4,2019-game5,2019-game6,2019-game7,2019-game8,2019-game9,2019-game10,2019-game11,2019-game12,2019-game13,2019-game14,2019-game15,2019-game16
SF,San Francisco,49ers,San Francisco 49ers,DF,-1,1,2,9,2,4,1,2,3,3,8,16,19,4,8,1,5,6,5,8,3,15,6,3,0,17,14,8,20,9,3,17,12,6,12,14,5,2,10,3,6,4,-2,12,4,1,10,6,26,11,8,-1,5,6,13,4,14,7,7,2,10,-1,8,7,6,6,0,0,3,0,17,0,2,3,11,8,4,5,0,7,9,1,13,17,6,-4,16,0,5,1,7,9,0,5,5,11,4,11,2,-3,19,-5,-2,13,14,13,4,0,0,8,2,15,6,11,1,6,3,4,1,3,5,11,17,5,2,3,8,5,3,14,11,3,8,7,7,0,5,11,0,9,8,2,6,3,8,6,12,35,1,4,3,0,14,1,14,7,23,4,18,12,2,2,1,16,6,9,13,9,3,2,9,3,17,0,3,19,12,5,8,8,19,7,11,11,5,15,1,12,8,15,9,9,5,4,4,23,9,2,8,10,4,15,21,3,7,10,0,9,5,7,1,12,19,11,6,11,10,5,12,8,7,7,11,5,18,2,2,9,3,14,-1,8,8,15,10,3,1,8,11,9,11,-3,0,6,1,6,9,2,3,3,1,9,8,6,1,3,10,4,3,2,2,4,3,-2,10,0,1,3,8,0,8,2,4,6,-3,8,6,5,-3,4,4,5,2,3,6,3,12,10,7.0,4.0,-1.0,8.0,0.0,2.0,-1.0,9.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,-5.0,24,7,6,14,9,9,16,3,19,14,10,3,-3,1,7,1
CHI,Chicago,Bears,Chicago Bears,DF,2,-1,9,7,8,9,4,8,12,3,19,3,0,3,8,15,5,10,26,14,8,14,11,5,10,9,10,5,13,11,26,15,7,11,6,11,5,4,4,5,5,8,7,6,7,6,7,6,-3,5,-1,7,0,8,11,5,4,16,5,11,13,7,1,2,6,15,8,5,12,5,16,17,26,1,12,14,4,2,10,-1,12,25,5,7,14,8,13,12,7,16,11,21,0,10,17,-1,13,15,6,17,16,17,15,7,8,10,11,26,5,5,5,6,10,13,8,11,9,0,4,7,13,3,7,9,3,10,24,9,15,7,8,7,17,2,17,9,3,-1,17,3,8,11,5,1,6,7,7,9,6,-3,23,0,7,9,0,10,7,3,7,6,9,6,7,9,15,0,15,9,12,12,6,2,0,15,3,9,19,2,6,9,3,10,9,3,29,6,6,7,14,6,-2,19,13,9,20,23,25,14,12,26,8,3,13,4,3,7,25,7,7,12,25,4,1,13,0,7,2,13,-1,7,1,9,-1,6,3,12,15,0,7,9,6,-4,-3,7,16,3,-2,3,12,8,-1,-3,4,6,6,3,3,4,8,6,9,6,5,-2,7,4,4,1,1,7,4,7,12,8,3,0,0,12,13,3,-3,-1,4,3,10,-1,6,15,27,6,3,5,4,5,10,6,11,8,14.0,17.0,13.0,13.0,5.0,2.0,4.0,27.0,12.0,14.0,13.0,4.0,17.0,8.0,6.0,7.0,8,5,21,14,4,-2,4,4,7,5,4,4,2,1,1,8
CIN,Cincinnati,Bengals,Cincinnati Bengals,DF,3,9,-1,5,12,2,8,8,1,2,4,3,8,1,4,11,5,23,1,7,5,2,10,2,5,9,9,13,1,8,20,7,0,1,0,11,1,5,2,20,1,2,0,3,7,2,8,7,6,0,6,5,4,9,14,5,4,1,2,10,7,10,3,0,1,15,5,4,14,12,10,15,14,9,8,5,-2,3,4,22,9,19,17,12,2,12,5,12,8,0,6,9,4,8,2,1,16,7,13,-1,5,6,1,0,0,19,18,5,11,0,7,5,20,-3,8,1,7,11,3,1,16,2,9,8,7,2,10,9,11,1,0,3,4,14,-3,-2,5,13,2,1,-1,7,21,7,6,8,9,12,7,7,12,11,9,6,4,16,3,6,8,-3,-3,12,12,3,9,7,4,5,2,6,4,3,4,5,5,11,5,6,10,1,13,16,17,5,7,2,4,0,13,6,12,1,0,10,5,11,7,3,7,3,15,10,11,11,5,22,19,13,2,9,17,6,12,7,4,23,5,11,26,11,-1,2,19,15,8,11,9,-2,-1,6,5,6,2,5,8,6,-3,11,15,6,9,10,2,7,6,4,12,6,8,5,16,13,3,15,5,6,5,5,5,12,2,0,7,3,5,5,4,8,8,1,9,10,3,6,14,7,9,-1,14,2,6,10,5,3,1,3,7,9,12.0,12.0,0.0,0.0,22.0,-1.0,1.0,19.0,-5.0,4.0,-3.0,4.0,2.0,10.0,2.0,10.0,6,-1,5,2,1,9,2,0,-2,8,6,8,5,1,1,12
BUF,Buffalo,Bills,Buffalo Bills,DF,9,8,2,3,3,10,1,15,10,20,12,6,3,-1,4,13,2,10,2,-3,11,1,11,13,0,3,1,10,12,10,7,2,2,14,3,0,-4,5,22,3,-2,2,0,8,0,6,8,11,20,4,14,2,6,1,7,-1,4,9,4,10,11,11,6,3,9,5,7,7,16,6,10,10,3,19,9,26,20,22,14,13,18,1,4,1,11,12,1,7,18,-4,6,9,2,2,18,3,13,14,0,7,2,5,3,21,13,6,3,4,20,9,0,2,4,3,0,6,30,4,13,2,6,-5,-2,11,21,4,6,9,10,5,3,13,-3,8,5,8,3,6,16,8,2,3,5,4,11,12,4,3,7,16,11,6,-1,6,10,7,14,3,4,10,4,-1,0,-3,3,3,6,3,6,13,9,12,11,8,0,6,11,1,13,12,16,2,20,5,-3,0,3,1,8,7,31,1,-3,18,9,0,-1,14,-1,4,-2,16,6,7,4,-1,4,16,15,8,4,14,2,5,14,1,2,6,19,7,7,10,17,2,8,13,2,9,11,-1,10,16,9,9,21,17,6,10,1,7,9,3,15,3,7,-1,9,5,16,3,0,4,3,0,6,8,9,6,21,9,16,6,0,2,5,8,2,-3,6,8,1,0,8,11,8,14,7,7,13,0,-3,-4,7,5,4,9,7,4,-1.0,1.0,14.0,6.0,11.0,15.0,-3.0,2.0,0.0,10.0,7.0,5.0,2.0,3.0,7.0,13.0,7,6,11,3,10,11,4,7,4,9,10,11,3,17,2,7
DEN,Denver,Broncos,Denver Broncos,DF,11,13,18,13,10,13,22,3,6,18,8,12,9,14,10,13,5,10,2,16,9,7,18,-1,12,10,6,2,12,11,10,2,8,7,12,6,17,5,7,8,0,20,6,2,5,1,5,10,21,5,10,2,6,9,1,2,9,13,2,11,3,4,7,3,3,5,9,6,2,12,3,0,7,19,15,6,7,0,11,4,3,15,9,13,4,0,4,6,17,17,11,3,12,4,7,15,3,9,5,12,12,12,-1,16,12,8,3,3,-2,9,10,12,5,9,7,-3,-1,15,0,0,21,7,10,1,14,1,4,7,5,0,8,2,8,6,3,5,1,2,-1,13,2,1,0,-3,10,14,13,12,6,7,1,12,3,1,13,17,5,5,9,1,1,10,0,6,0,8,-3,0,11,0,-1,7,-1,3,4,12,3,2,7,1,13,7,-1,8,7,16,6,16,9,-1,-2,4,13,1,6,7,5,28,4,7,20,12,7,9,10,14,11,8,10,9,3,11,3,6,1,19,4,6,14,1,5,2,10,5,9,3,9,3,15,9,6,0,7,3,0,13,11,9,7,14,15,20,15,9,21,16,8,7,1,7,5,20,4,6,5,5,5,21,9,14,4,4,7,18,1,11,5,15,5,3,1,12,5,13,4,8,5,3,4,5,-2,4,4,11,11,4,4,12,12.0,3.0,6.0,1.0,4.0,7.0,31.0,3.0,4.0,7.0,11.0,13.0,7.0,7.0,1.0,6.0,0,1,0,7,11,17,0,7,2,7,3,7,15,5,5,5
CLE,Cleveland,Browns,Cleveland Browns,DF,4,18,5,-2,6,4,-3,3,8,5,15,23,1,-3,6,6,11,18,13,2,0,14,19,5,19,21,-1,13,21,3,2,7,-1,14,0,11,2,5,13,11,4,1,14,9,3,4,7,9,8,8,7,0,18,4,3,4,5,13,5,4,5,5,2,6,13,9,2,7,7,6,3,3,4,13,1,5,4,3,7,9,8,5,5,13,6,5,4,4,7,10,6,3,2,10,3,11,4,7,3,6,1,7,10,4,10,14,4,5,4,7,15,4,2,4,6,7,-1,5,3,3,5,19,9,2,10,4,6,8,1,5,4,16,14,4,6,-1,2,8,8,9,5,13,3,1,3,2,2,10,12,11,-1,5,5,3,4,0,12,2,13,6,10,6,0,10,6,1,26,8,4,24,5,12,7,0,3,-1,4,6,10,1,4,11,1,1,8,4,4,3,9,6,3,9,19,7,2,6,5,16,4,7,1,9,18,4,10,1,1,2,6,5,12,10,12,2,0,6,9,7,0,3,8,17,0,5,4,10,2,4,7,8,14,9,14,2,7,7,23,3,4,1,1,14,2,1,0,12,4,8,3,4,9,-2,12,1,4,5,1,4,12,4,0,3,2,1,-3,5,0,3,4,0,5,6,3,6,4,4,6,8,7,4,3,4,0,1,1,1,9,6,16.0,7.0,9.0,4.0,13.5,0.0,14.0,4.0,1.0,7.0,7.0,3.0,3.0,7.0,3.0,4.0,1,10,8,10,3,4,7,5,2,15,8,3,10,-1,1,2
TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,DF,9,23,18,13,7,17,10,17,15,4,6,11,19,20,5,10,12,5,16,3,9,7,7,12,7,16,12,8,7,17,14,6,4,17,20,16,22,8,14,12,9,15,14,8,6,3,5,13,11,8,15,6,21,9,14,4,12,2,14,3,17,9,1,1,9,12,4,1,11,7,11,7,7,19,8,19,7,9,-2,5,15,8,11,7,9,17,1,0,5,13,7,14,7,0,8,19,1,12,9,0,5,21,3,-1,4,4,-2,3,5,5,22,3,4,7,11,10,3,12,3,1,7,22,19,5,6,19,8,4,9,13,13,17,1,18,9,6,3,10,16,7,2,12,-2,2,0,5,0,14,2,14,2,25,6,-3,10,4,3,14,4,7,7,13,1,12,1,4,26,0,5,14,7,3,5,0,4,12,8,4,13,7,-3,8,8,2,0,1,15,-1,2,9,-4,7,12,11,11,1,13,-1,10,7,20,4,5,1,8,-2,3,5,9,17,5,10,2,1,2,4,6,16,20,4,21,1,5,-2,1,4,10,7,9,-1,1,8,1,21,5,9,3,5,3,8,1,12,3,1,15,8,9,3,9,18,3,5,2,1,3,5,3,-2,8,4,7,11,3,1,21,5,16,12,10,5,1,16,18,-1,0,7,9,2,3,4,13,17,1,4,6,3,6,10,8.0,7.0,4.0,-4.0,0.0,7.0,-1.0,-1.0,4.0,0.0,11.0,13.0,4.0,6.0,1.0,2.0,10,6,8,13,1,1,5,2,6,0,16,22,0,15,9,15
ARI,Arizona,Cardinals,Arizona Cardinals,DF,4,6,2,3,1,2,-4,4,14,4,6,2,3,-3,11,6,-2,1,12,6,6,8,5,5,10,3,8,1,4,14,13,8,2,8,4,16,13,14,-2,12,1,2,0,-2,2,5,6,-1,-3,-2,7,0,3,1,9,7,2,-3,19,4,-2,5,9,6,7,10,18,14,10,12,-3,13,9,-1,5,4,2,11,3,15,10,7,-3,14,4,18,4,2,0,8,0,14,7,6,12,5,5,9,6,9,7,14,15,-1,0,9,9,10,9,8,8,5,5,3,6,9,13,2,3,4,14,23,0,15,-1,4,4,21,17,5,2,-1,14,13,3,17,6,10,-2,-2,22,10,-4,7,6,19,1,10,13,12,0,8,8,7,6,8,5,6,15,2,13,0,5,6,21,7,1,15,1,-1,5,4,30,4,23,1,12,7,11,4,2,1,12,17,7,6,12,8,5,5,6,8,10,8,19,12,4,6,7,4,2,13,3,14,-2,25,10,1,10,5,7,11,21,5,6,15,13,7,12,7,19,14,11,2,3,9,4,2,16,4,6,8,25,10,9,8,10,10,-2,1,4,12,27,1,14,1,9,5,4,5,9,6,9,17,34,-2,6,21,7,5,13,9,5,2,5,5,2,6,6,6,9,23,6,9,0,6,2,4,2,12,5,4,9,2,10,3,18,3,5.0,3.0,8.0,2.0,20.0,14.0,1.0,5.0,5.0,4.0,3.0,2.0,4.0,-1.0,3.0,16.0,5,2,1,4,1,1,14,1,0,9,3,0,7,5,10,0
LAC,Los Angeles,Chargers,Los Angeles Chargers,DF,9,5,7,7,-3,2,8,4,4,1,16,8,-1,9,16,11,13,11,11,8,4,13,16,6,11,5,7,5,4,9,5,3,10,25,18,7,8,4,5,1,19,4,0,10,1,4,5,8,7,-2,3,4,5,13,3,4,6,4,2,4,5,-1,-1,8,10,-1,3,4,9,7,7,8,8,4,4,11,17,7,5,9,5,7,4,12,5,7,7,6,3,13,3,16,4,11,2,2,15,7,11,12,9,3,11,15,2,4,10,11,6,11,13,9,17,3,1,5,17,12,20,2,14,0,9,22,7,19,14,17,3,1,16,10,3,9,0,-3,1,7,3,12,14,2,14,4,7,2,12,0,0,16,8,7,4,13,15,4,2,4,8,1,1,17,7,24,0,3,4,0,4,8,24,2,8,11,1,6,5,-1,4,8,2,12,11,1,7,1,2,5,16,12,0,2,8,5,4,22,4,7,5,24,0,14,6,13,12,3,16,2,3,4,2,5,4,6,12,11,3,6,4,5,9,3,6,2,8,4,6,10,10,1,3,-3,-3,8,17,-1,11,1,11,4,4,4,1,6,5,3,-2,2,11,2,4,4,7,4,5,14,4,9,14,3,4,11,4,13,15,2,12,2,3,6,9,6,8,2,5,1,9,6,15,3,9,25,16,10,7,0,12,9,-2.0,9.0,2.0,5.0,10.0,10.0,4.0,13.0,10.0,0.0,7.0,8.0,3.0,1.0,5.0,16.0,2,7,4,10,13,2,4,8,6,3,5,2,5,-1,3,1
KC,Kansas City,Chiefs,Kansas City Chiefs,DF,5,17,15,9,11,4,13,11,-5,1,3,23,4,9,7,2,14,10,6,4,5,4,2,5,4,6,4,9,4,3,10,7,0,2,3,11,5,10,2,11,6,5,-2,17,22,7,3,3,8,18,16,12,2,12,11,21,7,2,5,11,-3,5,3,12,6,10,5,4,4,11,-1,0,6,3,0,3,16,10,3,5,14,7,0,4,16,4,3,3,7,14,12,6,3,5,8,9,3,5,16,8,0,10,5,7,8,6,7,4,2,6,17,12,6,9,10,16,5,10,9,4,5,9,4,5,-2,1,4,6,7,4,-1,9,3,-1,12,7,6,1,-5,13,8,9,1,2,8,7,1,6,5,15,-3,3,9,8,-1,6,9,3,4,20,4,12,10,3,-1,11,8,8,-5,5,8,10,5,10,14,7,0,-3,6,5,0,29,11,-1,1,4,8,17,4,5,5,10,-2,-3,8,2,11,8,2,4,4,1,5,2,2,3,3,-1,20,8,21,12,16,24,8,6,21,2,-2,1,19,19,1,5,7,1,5,16,3,4,12,6,6,4,3,2,3,9,1,16,9,10,-2,-3,10,7,11,13,18,17,5,16,11,21,7,11,1,6,24,-1,9,11,11,9,13,2,5,9,4,7,9,4,3,8,11,0,4,3,1,17,0,7,3,-3,10,13,7,17,2.0,-2.0,4.0,6.0,22.0,1.0,13.0,9.0,6.0,10.0,10.0,8.0,5.0,8.0,0.0,21.0,5,10,2,15,2,5,21,4,1,3,11,17,8,8,7,7
