player,first,last,name,position1,game1,game2,game3,game4,game5,game6,game7,game8,game9,game10,game11,game12,game13,game14,game15,game16
TB-2300,Tom,Brady,Tom Brady,QB,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0
DB-3800,Drew,Brees,Drew Brees,QB,0,0,0,0,0,0,0,14.64,0,0,0,0.0,0,0,0,0
JM-2900,Josh,McCown,Josh McCown,QB,0,0,0,0,0,0,0,0,0,0,0,-0.19999999999999996,0,0,0,-1.1600000000000001
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB,0,11.04,8.719999999999999,11.16,18.54,16.52,16.14,12.32,7.16,9.12,5.640000000000001,20.84,1.5599999999999996,12.54,15.939999999999998,0
EM-0200,Eli,Manning,Eli Manning,QB,2.64,0,0,0,0,0,0,0,0,6.380000000000001,3.7199999999999998,4.52,-4.92,15.080000000000002,6.039999999999999,15.759999999999998
MS-0200,Matt,Schaub,Matt Schaub,QB,0,0,0,-0.2,0,0,0.36,0,0,0,0,-2.0,0.0,0,5.619999999999999,8.02
PR-0300,Philip,Rivers,Philip Rivers,QB,0,0,0,0,0,0,0,0,-0.4,0,0,0.0,0,0,0,5.22
AR-1300,Aaron,Rodgers,Aaron Rodgers,QB,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,-2.5999999999999996,0,-0.1
RF-0500,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,0,0,0,0,0,0,0,0,0,0,24.700000000000003,10.719999999999999,7.0,5.06,0,0
MM-4700,Matt,Moore,Matt Moore,QB,0,0,0,0,1.72,0,0,-0.56,-2.0,0,0.6400000000000001,0.0,0.84,8.82,9.280000000000001,12.96
JF-1900,Joe,Flacco,Joe Flacco,QB,14.86,0.96,9.58,2.5200000000000005,4.84,13.48,16.2,18.119999999999997,18.200000000000003,12.259999999999998,15.620000000000001,20.7,8.46,1.0999999999999996,8.36,11.88
MR-2500,Matt,Ryan,Matt Ryan,QB,10.24,3.3200000000000003,13.18,7.42,15.36,16.14,15.48,14.899999999999999,17.72,9.8,10.559999999999999,15.98,23.9,6.140000000000001,9.56,6.300000000000001
BH-1900,Brian,Hoyer,Brian Hoyer,QB,0,0,0,0,0,7.88,1.7,0,0,0,0.76,0.0,0,0,0,3.84
CD-0300,Chase,Daniel,Chase Daniel,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
MS-4100,Matthew,Stafford,Matthew Stafford,QB,8.2,6.780000000000001,15.940000000000001,13.84,0,0,13.120000000000001,6.119999999999997,15.760000000000002,33.58,6.619999999999999,5.52,0,0,0,0
CM-1500,Colt,McCoy,Colt McCoy,QB,0,0,0,0,0,13.440000000000001,3.76,14.96,13.299999999999999,15.54,0,0.0,0,17.72,2.960000000000001,8.26
AD-0100,Andy,Dalton,Andy Dalton,QB,7.24,21.58,2.7800000000000002,19.119999999999997,13.16,14.46,11.02,21.08,10.8,16.12,15.100000000000001,10.0,9.76,4.96,18.96,10.979999999999999
CN-0500,Cam,Newton,Cam Newton,QB,30.68,26.58,15.02,32.46,23.66,14.18,26.14,24.9,11.98,24.9,19.62,38.26,18.64,19.46,33.34,11.52
TT-0500,Tyrod,Taylor,Tyrod Taylor,QB,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.72,0,0
AT-0160,Alex,Tanney,Alex Tanney,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
CK-0250,Case,Keenum,Case Keenum,QB,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0
KC-2350,Kirk,Cousins,Kirk Cousins,QB,0,0,0,0,4.440000000000001,0,0,0,0,0,0,0.0,7.04,21.36,0,0
NF-0250,Nick,Foles,Nick Foles,QB,0,0,0,0,0,0,0,0,8.76,4.16,4.76,14.04,31.939999999999998,7.699999999999999,14.8,0
RG-1850,Robert,Griffin,Robert Griffin,QB,25.0,30.439999999999998,24.24,22.52,4.34,37.08,23.22,11.879999999999999,13.899999999999999,32.4,29.06,17.72,17.08,0,14.32,16.3
RT-0150,Ryan,Tannehill,Ryan Tannehill,QB,2.3599999999999994,19.4,6.140000000000001,17.24,8.52,17.0,0.72,15.5,2.58,6.34,15.419999999999998,13.34,12.5,22.0,17.6,6.200000000000001
