week,avg-total,avg-pct,arima-total,arima-pct,ab-correct,nn-total,nn-pct,nb-correct
1,350701,0.823713582,353497,0.830280724,2796,361235,0.848455453,10534
2,341356,0.801764391,357868,0.840547168,16512,363323,0.853359671,21967
3,350501,0.82324383,358132,0.841167241,7631,364020,0.854996759,13519
4,355994,0.836145586,357600,0.839917699,1606,364666,0.85651406,8672
5,357082,0.83870104,357377,0.839393925,295,364327,0.855717829,7245
6,357546,0.839790866,357995,0.840845461,449,363324,0.85336202,5778
7,360267,0.846181851,357893,0.840605887,-2374,362817,0.852171197,2550
8,360363,0.846407332,357398,0.839443249,-2965,362570,0.851591052,2207
9,360401,0.846496585,358692,0.842482549,-1709,362635,0.851743722,2234
10,360028,0.845620496,360060,0.845695657,32,362008,0.850271047,1980
11,359741,0.844946401,360623,0.84701801,882,363232,0.853145933,3491
12,358688,0.842473154,361371,0.848774885,2683,363874,0.854653839,5186
13,357439,0.839539548,362309,0.850978025,4870,363575,0.853951559,6136
14,356793,0.838022247,364171,0.855351422,7378,366629,0.861124682,9836
15,352646,0.828281927,365714,0.858975563,13068,366844,0.861629666,14198
16,347005,0.815032554,367992,0.864326046,20987,367915,0.864145191,20910
17,333462,0.783223255,373364,0.876943601,39902,372421,0.874728718,38959
