week,nn,average
1.0,28.68781010719755,36.56796324655436
2.0,27.82667687595712,51.02098009188361
3.0,24.863675344563553,38.27163859111791
4.0,22.988912710566613,33.01410923940786
5.0,21.485390505359877,29.417251148545184
6.0,20.252588055130165,27.21273506891271
7.0,19.38551301684533,24.3076875957121
8.0,17.99748851454824,21.690702253336248
9.0,16.277519142419603,19.551278713629404
10.0,15.041807044410412,17.194211332312403
11.0,13.297856049004594,14.797647779479329
12.0,11.764287901990812,12.713105944591398
13.0,10.444165390505361,10.928328228688105
14.0,8.565849923430322,8.922127459064672
15.0,6.745543644716692,7.110420039378692
16.0,5.063215926493109,5.354164369576315
17.0,2.944594180704441,3.2140543644716693
