team,week,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARI,1,4,1,3,0,6,13,5,5,14,6,10,12,9,10,2,4,6,9,5,5
ARI,2,7,2,5,1,10,6,9,3,2,18,3,7,8,5,8,12,18,6,4,2
ARI,3,3,12,4,4,14,0,5,6,2,2,5,8,15,8,3,24,8,1,7,4
ARI,4,3,6,13,3,11,13,10,8,4,10,9,5,12,8,5,1,4,5,2,4
ARI,5,1,5,10,3,11,4,7,14,13,9,21,3,3,17,16,13,13,3,20,1
ARI,6,3,7,10,1,11,15,14,2,13,11,7,2,6,6,1,1,5,5,14,2
ARI,7,1,5,1,6,0,5,15,3,3,1,4,13,7,7,6,9,1,3,4,14
ARI,8,4,4,12,6,13,3,0,3,14,8,15,14,4,12,7,5,3,9,4,2
ARI,9,13,13,1,3,8,1,0,14,6,8,4,6,3,13,24,5,5,5,5,1
ARI,10,5,2,5,0,2,9,6,23,10,4,0,6,13,6,6,6,6,5,4,10
ARI,11,7,9,3,20,2,0,10,3,1,6,5,12,4,9,9,6,5,9,6,6
ARI,12,3,1,3,5,4,11,10,15,3,7,4,5,11,7,9,2,6,3,1,1
ARI,13,3,3,2,3,3,6,9,2,19,5,27,5,3,16,9,9,6,7,3,7
ARI,14,0,11,6,5,8,7,11,5,13,6,4,4,22,15,6,16,11,3,2,5
ARI,15,8,10,5,10,3,12,8,4,1,12,23,6,11,8,1,31,10,14,4,7
ARI,16,6,8,2,5,12,4,5,21,7,3,4,8,1,2,1,1,19,3,16,1
ATL,1,9,4,4,9,7,8,8,2,5,12,5,12,9,4,4,4,2,4,6,1
ATL,2,8,4,5,10,15,4,7,4,4,7,8,6,11,8,0,4,1,13,4,9
ATL,3,14,12,6,3,14,8,1,3,14,0,8,4,9,9,17,4,12,2,1,1
ATL,4,5,5,6,2,14,15,18,5,2,7,5,4,5,0,0,21,11,3,7,0
ATL,5,6,7,7,4,3,3,6,14,4,8,15,6,7,4,1,11,8,2,2,2
ATL,6,4,9,6,6,3,20,7,7,1,4,3,7,15,11,4,1,3,2,6,0
ATL,7,11,7,6,5,8,18,6,2,4,16,5,3,3,5,5,5,14,5,4,0
ATL,8,4,7,16,4,12,2,5,10,7,13,5,6,1,5,2,2,3,5,5,2
ATL,9,12,10,12,11,9,3,9,4,13,2,6,0,3,1,10,4,7,12,2,6
ATL,10,5,8,6,23,5,2,4,3,1,3,2,3,11,2,8,8,4,13,2,13
ATL,11,4,2,24,9,10,13,2,6,3,3,3,4,2,1,7,2,4,1,4,6
ATL,12,2,7,14,6,5,2,5,5,5,2,3,5,11,4,6,5,5,2,10,0
ATL,13,3,2,1,15,13,7,11,2,0,0,9,6,1,15,3,2,23,4,4,11
ATL,14,0,0,14,6,12,3,5,6,6,10,14,19,7,15,1,4,4,4,19,3
ATL,15,9,7,9,14,8,8,3,0,11,14,11,5,6,3,19,4,6,3,10,3
ATL,16,6,14,11,5,14,1,2,10,3,7,7,16,2,5,1,2,4,8,3,13
BAL,1,3,5,2,4,2,0,15,13,6,3,4,18,14,3,2,12,2,15,10,9
BAL,2,12,4,1,17,16,3,20,8,16,6,1,2,10,5,8,3,9,13,0,3
BAL,3,5,11,11,7,14,5,11,3,5,10,2,15,2,11,2,12,12,0,5,1
BAL,4,12,7,12,3,7,4,5,2,4,11,4,28,11,8,4,4,2,3,5,3
BAL,5,8,4,9,22,19,10,5,5,2,13,3,4,8,6,9,4,5,11,6.5,5
BAL,6,15,2,7,4,20,1,7,16,9,3,7,6,3,7,7,3,7,8,11,4
BAL,7,5,5,2,6,4,6,24,4,8,10,9,8,2,5,9,2,9,2,3,17
BAL,8,4,3,5,10,13,4,12,5,11,3,8,5,5,4,6,3,6,19,0,12
BAL,9,7,10,23,12,7,1,6,2,10,14,2,1,9,11,5,5,10,5,1,19
BAL,10,4,7,0,2,14,10,5,11,5,6,19,8,9,2,9,11,1,16,1,11
BAL,11,7,4,17,18,1,8,21,0,20,2,0,11,6,9,12,10,7,8,17,6
BAL,12,7,17,12,14,21,13,2,5,11,7,5,11,8,0,6,3,8,17,11,6
BAL,13,12,3,4,18,14,4,11,0,14,5,12,6,5,2,6,2,5,3,4,8
BAL,14,12,13,6,0,0,19,10,5,7,12,5,0,4,7,12,3,5,16,3,7
BAL,15,10,0,4,19,4,5,11,6,8,8,10,4,3,2,2,7,4,6,16,2
BAL,16,21,19,8,13,15,17,17,6,11,7,10,3,2,8,8,3,1,3,6,4
BUF,1,6,2,5,16,6,15,13,3,7,11,3,8,2,15,8,8,6,5,4,6
BUF,2,8,13,17,3,2,1,10,3,4,12,0,4,17,8,10,6,9,8,2,5
BUF,3,2,2,4,13,8,4,1,3,3,4,3,14,8,4,2,14,21,7,10,10
BUF,4,3,0,0,2,6,1,4,5,12,6,0,12,5,14,9,3,5,13,6,2
BUF,5,3,8,1,5,13,10,5,30,0,3,6,16,2,5,10,4,16,7,8,7
BUF,6,10,1,5,2,6,11,5,3,7,13,6,2,13,5,2,0,5,7,15,11
BUF,7,2,12,19,4,9,4,4,9,5,8,3,16,2,14,9,10,1,12,0,5
BUF,8,15,13,2,2,9,7,18,2,8,7,3,5,4,4,16,4,5,1,2,4
BUF,9,7,0,1,1,4,14,12,3,3,2,3,0,1,2,8,15,6,2,3,4
BUF,10,16,4,1,6,18,1,6,0,7,6,14,3,15,6,9,3,5,1,7,9
BUF,11,11,4,1,3,6,3,3,1,17,9,9,4,6,18,17,1,2,4,7,6
BUF,12,7,10,8,7,27,9,4,10,5,7,15,1,7,8,14,4,0,5,5,10
BUF,13,4,9,0,7,17,5,17,20,1,11,7,11,3,7,6,3,6,1,2,3
BUF,14,2,11,3,12,21,3,5,1,4,2,7,8,4,10,7,3,5,8,0,14
BUF,15,1,4,5,6,11,18,1,9,5,5,1,30,4,13,1,2,2,10,7,2
BUF,16,13,3,8,4,14,4,2,8,1,7,9,6,13,3,4,7,1,3,12,4
CAR,1,0,11,4,10,4,4,3,5,9,8,11,4,2,4,9,17,8,8,8,5
CAR,2,4,6,18,9,7,8,9,2,5,4,0,3,11,5,8,3,14,3,2,7
CAR,3,6,4,15,8,0,2,3,5,5,2,5,6,2,13,1,5,2,1,10,12
CAR,4,6,9,8,2,5,5,3,2,2,9,6,3,9,8,0,18,11,3,13,10
CAR,5,3,8,3,8,3,9,14,6,9,8,11,4,16,7,14,4,2,8,3,14
CAR,6,5,5,10,3,3,16,9,12,0,4,4,1,2,16,5,7,3,5,5,19
CAR,7,13,16,1,8,5,4,2,2,5,20,2,9,12,5,2,10,18,6,8,7
CAR,8,7,3,10,2,4,19,6,11,6,5,3,6,4,15,7,9,6,11,7,10
CAR,9,9,8,2,11,14,21,11,10,11,4,3,3,5,10,8,5,5,4,1,2
CAR,10,4,9,6,7,12,2,13,3,11,0,7,8,13,6,1,15,9,2,1,3
CAR,11,5,4,6,3,16,7,3,2,3,9,14,6,5,5,4,20,6,11,2,4
CAR,12,11,7,13,7,7,8,1,22,6,12,7,4,1,8,3,4,5,4,6,7
CAR,13,20,4,12,7,15,1,0,2,7,6,5,5,4,2,6,13,17,12,5,1
