gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
1,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,28,36
2,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78,63,9,NE,Sunny,Grass,38,-10,27,7
3,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,41,14
4,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,20,16
5,2000,1,SUN,IND,KC,Arrowhead Stadium,90,50,8,E,Mostly Sunny,Grass,44,-3,27,14
6,2000,1,SUN,SEA,MIA,Pro Player Stadium,89,59,13,E,Sunny,Grass,36,3,0,23
7,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,27,30
8,2000,1,SUN,TB,NE,Foxboro Stadium,71,93,5,VAR,Cloudy,Grass,35.5,-3,21,16
9,2000,1,SUN,DET,NO,Louisiana Superdome,89,,,,Dome,AstroTurf,39.5,1,14,10
10,2000,1,SUN,ARI,NYG,Giants Stadium,80,79,3,VAR,Partly Cloudy,Grass,40,7,16,21
11,2000,1,SUN,SD,OAK,Network Associates Coliseum,64,49,10,W,Partly Cloudy,Grass,39.5,7,6,9
12,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74,84,8,NW,Partly Sunny,AstroTurf,37,-3,16,0
13,2000,1,SUN,CAR,WAS,FedEx Field,80,98,,CALM,Mostly Cloudy,Grass,47.5,10,17,20
14,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73,78,10,S,Mostly Cloudy,AstroTurf,40.5,-1,13,16
15,2000,1,MN,DEN,STL,Trans World Dome,,,,,Dome,AstroTurf,49.5,6.5,36,41
16,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,36,39
17,2000,2,SUN,GB,BUF,Ralph Wilson Stadium,81,62,8,WSW,Clear,AstroTurf,39.5,6.5,18,27
18,2000,2,SUN,CLE,CIN,Paul Brown Stadium,74,93,5,S,Chance Rain,Grass,41,6,24,7
19,2000,2,SUN,ATL,DEN,Mile High Stadium,84,15,10,S,Sunny,Grass,46,4,14,42
20,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,10,15
21,2000,2,SUN,OAK,IND,RCA Dome,72,,,,Dome,AstroTurf,44,6.5,38,31
22,2000,2,SUN,MIA,MIN,Metrodome,65,,,,Dome,AstroTurf,41,3,7,13
23,2000,2,SUN,NYG,PHI,Veterans Stadium,77,74,6,SE,Fair,AstroTurf,39,3,33,18
24,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,28,27
25,2000,2,SUN,CAR,SF,3COM Park,63,76,6,NE,Sunny,Grass,49,-3,38,22
26,2000,2,SUN,STL,SEA,Husky Stadium,55,100,3,W,Cloudy,FieldTurf,47.5,-8,37,34
