uid,gid,year,week,player,first,last,name,position1,team,details,pstat,gstat
29844,5194,2019,10,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
30530,5213,2019,11,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
31097,5228,2019,12,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
31629,5242,2019,13,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
32187,5256,2019,14,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
32969,5275,2019,15,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
33478,5287,2019,16,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
33957,5298,2019,17,AA-0581,Antony,Auclair,Antony Auclair,TE,TB,Toe,,IR
25416,5062,2019,1,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
25902,5079,2019,2,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
26190,5090,2019,3,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
27093,5117,2019,4,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
27425,5127,2019,5,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
27870,5140,2019,6,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
28348,5153,2019,7,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
28875,5169,2019,8,AB-1975,Alfred,Blue,Alfred Blue,RB,JAC,Ankle,,IR
30838,5221,2019,12,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,DNP,IR
31394,5236,2019,13,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
32263,5258,2019,14,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
33223,5281,2019,15,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
33595,5290,2019,16,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
34260,5305,2019,17,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
34706,5316,2019,18,AC-0387,Austin,Carr,Austin Carr,WR,NO,Ankle,,IR
