uid,gid,player,del,first,last,name,position1,pat,fgs,fgm,fgl,fp,game,seas,year,team
15,8,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,0,0,4,1,5,2000,NE
59,30,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,4,0,0,13,2,5,2000,NE
76,38,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,0,0,0,1,3,5,2000,NE
100,51,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,0,1,0,4,4,5,2000,NE
122,63,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,0,0,4,5,5,2000,NE
156,80,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,6,5,2000,NE
181,92,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,7,5,2000,NE
209,107,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,3,0,0,11,8,5,2000,NE
265,135,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,0,2,0,9,9,5,2000,NE
287,146,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,1,0,0,3,10,5,2000,NE
327,166,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,3,0,0,10,11,5,2000,NE
346,175,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,1,2,0,11,12,5,2000,NE
400,203,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,1,1,15,13,5,2000,NE
405,205,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,0,1,0,6,14,5,2000,NE
438,222,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,2,0,0,7,15,5,2000,NE
477,242,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,0,6,16,5,2000,NE
514,262,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,1,6,2001,NE
559,284,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,1,0,0,3,2,6,2001,NE
580,295,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,1,2,0,16,3,6,2001,NE
606,308,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,1,0,0,4,4,6,2001,NE
639,325,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,1,0,12,5,6,2001,NE
664,337,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,0,1,0,9,6,6,2001,NE
689,350,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,1,0,9,7,6,2001,NE
709,360,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,1,0,7,8,6,2001,NE
750,381,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,0,0,3,9,6,2001,NE
791,401,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,10,6,2001,NE
810,411,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,4,0,0,0,4,11,6,2001,NE
841,426,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,12,6,2001,NE
869,440,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,1,0,1,11,13,6,2001,NE
889,450,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,0,3,1,0,13,14,6,2001,NE
914,463,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,2,0,0,8,15,6,2001,NE
973,493,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,5,1,0,0,8,16,6,2001,NE
1015,513,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,1,2,1,0,11,17,6,2001,NE
1020,516,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,3,0,1,0,7,18,6,2001,NE
1025,518,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,1,0,9,19,6,2001,NE
