pid,gid,year,week,fgxp,fkicker,first,last,name,dist,good
517,4,2000,1,FG,JH-0500,John,Hall,John Hall,52,0
583,4,2000,1,FG,JH-0500,John,Hall,John Hall,48,0
877,6,2000,1,FG,KH-1500,Kris,Heppner,Kris Heppner,52,0
1203,8,2000,1,FG,AV-0400,Adam,Vinatieri,Adam Vinatieri,55,0
1435,9,2000,1,FG,DB-3900,Doug,Brien,Doug Brien,52,0
1700,11,2000,1,FG,SJ-0300,Sebastian,Janikowski,Sebastian Janikowski,41,0
1884,12,2000,1,FG,KB-2300,Kris,Brown,Kris Brown,45,0
2022,13,2000,1,FG,RC-2900,Richie,Cunningham,Richie Cunningham,27,0
2178,14,2000,1,FG,SC-0700,Steve,Christie,Steve Christie,51,0
2277,14,2000,1,FG,CH-2900,Craig,Hentrich,Craig Hentrich,60,0
2841,18,2000,2,FG,NR-0100,Neil,Rackers,Neil Rackers,42,0
3299,21,2000,2,FG,SJ-0300,Sebastian,Janikowski,Sebastian Janikowski,50,0
3323,21,2000,2,FG,MV-0100,Mike,Vanderjagt,Mike Vanderjagt,47,0
4269,27,2000,2,FG,MG-1200,Martin,Gramatica,Martin Gramatica,50,0
4384,27,2000,2,FG,PE-0100,Paul,Edinger,Paul Edinger,42,0
4495,28,2000,2,FG,PS-0900,Pete,Stoyanovich,Pete Stoyanovich,36,0
4820,30,2000,2,FG,AV-0400,Adam,Vinatieri,Adam Vinatieri,29,0
4912,31,2000,3,FG,RC-2900,Richie,Cunningham,Richie Cunningham,25,0
4921,31,2000,3,FG,MA-0700,Morten,Andersen,Morten Andersen,50,0
4978,31,2000,3,FG,MA-0700,Morten,Andersen,Morten Andersen,47,0
5075,32,2000,3,FG,PE-0100,Paul,Edinger,Paul Edinger,49,0
5086,32,2000,3,FG,BD-0100,Brad,Daluiso,Brad Daluiso,34,0
5100,32,2000,3,FG,BD-0100,Brad,Daluiso,Brad Daluiso,41,0
5190,32,2000,3,FG,BD-0100,Brad,Daluiso,Brad Daluiso,31,0
5398,34,2000,3,FG,JH-0900,Jason,Hanson,Jason Hanson,34,0
5434,34,2000,3,FG,MG-1200,Martin,Gramatica,Martin Gramatica,38,0
5589,35,2000,3,FG,RL-1300,Ryan,Longwell,Ryan Longwell,40,0
5720,36,2000,3,FG,NR-0100,Neil,Rackers,Neil Rackers,44,0
5749,36,2000,3,FG,NR-0100,Neil,Rackers,Neil Rackers,47,0
5773,36,2000,3,FG,SL-0600,Steve,Lindsey,Steve Lindsey,33,0
5940,37,2000,3,FG,JC-0900,John,Carney,John Carney,51,0
6077,38,2000,3,FG,AV-0400,Adam,Vinatieri,Adam Vinatieri,44,0
6268,39,2000,3,FG,SC-0700,Steve,Christie,Steve Christie,43,0
6309,39,2000,3,FG,JH-0500,John,Hall,John Hall,33,0
6467,40,2000,3,FG,SJ-0300,Sebastian,Janikowski,Sebastian Janikowski,49,0
6534,41,2000,3,FG,KH-1500,Kris,Heppner,Kris Heppner,37,0
6860,43,2000,3,FG,MS-5200,Matt,Stover,Matt Stover,30,0
7667,48,2000,4,FG,JH-0900,Jason,Hanson,Jason Hanson,32,0
7966,50,2000,4,FG,JN-0600,Joe,Nedney,Joe Nedney,50,0
8181,51,2000,4,FG,AV-0400,Adam,Vinatieri,Adam Vinatieri,53,0
8429,53,2000,4,FG,PD-0200,Phil,Dawson,Phil Dawson,42,0
8695,54,2000,4,FG,KB-2300,Kris,Brown,Kris Brown,50,0
8837,55,2000,4,FG,KH-1500,Kris,Heppner,Kris Heppner,34,0
9135,57,2000,4,FG,MH-3900,Michael,Husted,Michael Husted,30,0
9644,60,2000,5,FG,TS-1100,Tim,Seder,Tim Seder,45,0
9891,62,2000,5,FG,MS-5200,Matt,Stover,Matt Stover,51,0
10120,63,2000,5,FG,JN-0600,Joe,Nedney,Joe Nedney,43,0
10242,64,2000,5,FG,JH-0900,Jason,Hanson,Jason Hanson,43,0
10399,65,2000,5,FG,PE-0100,Paul,Edinger,Paul Edinger,42,0
10671,67,2000,5,FG,CB-1700,Cary,Blanchard,Cary Blanchard,51,0
10900,68,2000,5,FG,JC-0900,John,Carney,John Carney,49,0
