player,first,last,name,position1,start
SF,San Francisco,49ers,San Francisco 49ers,DF,2000
CHI,Chicago,Bears,Chicago Bears,DF,2000
CIN,Cincinnati,Bengals,Cincinnati Bengals,DF,2000
BUF,Buffalo,Bills,Buffalo Bills,DF,2000
DEN,Denver,Broncos,Denver Broncos,DF,2000
CLE,Cleveland,Browns,Cleveland Browns,DF,2000
TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,DF,2000
ARI,Arizona,Cardinals,Arizona Cardinals,DF,2000
LAC,Los Angeles,Chargers,Los Angeles Chargers,DF,2000
KC,Kansas City,Chiefs,Kansas City Chiefs,DF,2000
IND,Indianapolis,Colts,Indianapolis Colts,DF,2000
DAL,Dallas,Cowboys,Dallas Cowboys,DF,2000
MIA,Miami,Dolphins,Miami Dolphins,DF,2000
PHI,Philadelphia,Eagles,Philadelphia Eagles,DF,2000
ATL,Atlanta,Falcons,Atlanta Falcons,DF,2000
NYG,New York,Giants,New York Giants,DF,2000
JAC,Jacksonville,Jaguars,Jacksonville Jaguars,DF,2000
NYJ,New York,Jets,New York Jets,DF,2000
DET,Detroit,Lions,Detroit Lions,DF,2000
GB,Green Bay,Packers,Green Bay Packers,DF,2000
CAR,Carolina,Panthers,Carolina Panthers,DF,2000
NE,New England,Patriots,New England Patriots,DF,2000
OAK,Oakland,Raiders,Oakland Raiders,DF,2000
LA,Los Angeles,Rams,Los Angeles Rams,DF,2000
BAL,Baltimore,Ravens,Baltimore Ravens,DF,2000
WAS,Washington,Redskins,Washington Redskins,DF,2000
NO,New Orleans,Saints,New Orleans Saints,DF,2000
SEA,Seattle,Seahawks,Seattle Seahawks,DF,2000
PIT,Pittsburgh,Steelers,Pittsburgh Steelers,DF,2000
HOU,Houston,Texans,Houston Texans,DF,2002
TEN,Tennessee,Titans,Tennessee Titans,DF,2000
MIN,Minnesota,Vikings,Minnesota Vikings,DF,2000
MB-0020,Michael,Badgley,Michael Badgley,K,2018
DB-0200,Dan,Bailey,Dan Bailey,K,2011
CB-2275,Chris,Boswell,Chris Boswell,K,2014
MB-4600,Matt,Bryant,Matt Bryant,K,2002
RB-4650,Randy,Bullock,Randy Bullock,K,2012
HB-0500,Harrison,Butker,Harrison Butker,K,2017
DC-0450,Daniel,Carlson,Daniel Carlson,K,2018
MC-3000,Mason,Crosby,Mason Crosby,K,2007
JE-0250,Jake,Elliott,Jake Elliott,K,2017
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,2016
SF-0050,Sam,Ficken,Sam Ficken,K,2016
NF-0300,Nick,Folk,Nick Folk,K,2007
KF-0250,Kai,Forbath,Kai Forbath,K,2011
MG-0306,Matt,Gay,Matt Gay,K,2019
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,2017
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,2006
RG-1500,Robbie,Gould,Robbie Gould,K,2005
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,2008
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,2013
GJ-1200,Greg,Joseph,Greg Joseph,K,2018
YK-0100,Younghoe,Koo,Younghoe Koo,K,2017
JL-0207,Josh,Lambo,Josh Lambo,K,2015
TL-1062,Ty,Long,Ty Long,K,2015
WL-0300,Wil,Lutz,Wil Lutz,K,2016
BM-0062,Brett,Maher,Brett Maher,K,2013
CM-2137,Chase,McLaughlin,Chase McLaughlin,K,2019
BM-1650,Brandon,McManus,Brandon McManus,K,2013
JM-7000,Jason,Myers,Jason Myers,K,2015
MN-0800,Mike,Nugent,Mike Nugent,K,2005
CP-0575,Cody,Parkey,Cody Parkey,K,2014
EP-0512,Eddy,Pineiro,Eddy Pineiro,K,2018
MP-2100,Matt,Prater,Matt Prater,K,2006
AR-1450,Aldrick,Rosas,Aldrick Rosas,K,2016
JS-0350,Jason,Sanders,Jason Sanders,K,2018
CS-0250,Cairo,Santos,Cairo Santos,K,2014
AS-0575,Austin,Seibert,Austin Seibert,K,2019
JS-3825,Joey,Slye,Joey Slye,K,2019
RS-3400,Ryan,Succop,Ryan Succop,K,2009
JT-3950,Justin,Tucker,Justin Tucker,K,2012
KV-0250,Kaare,Vedvik,Kaare Vedvik,K,2018
AV-0400,Adam,Vinatieri,Adam Vinatieri,K,1996
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K,2012
AD-0100,Andy,Dalton,Andy Dalton,QB,2011
AM-1150,A.J.,McCarron,A.J. McCarron,QB,2014
AR-1300,Aaron,Rodgers,Aaron Rodgers,QB,2005
AT-0160,Alex,Tanney,Alex Tanney,QB,2012
BA-0375,Brandon,Allen,Brandon Allen,QB,2016
BB-2425,Blake,Bortles,Blake Bortles,QB,2014
BH-1900,Brian,Hoyer,Brian Hoyer,QB,2009
BH-2300,Brett,Hundley,Brett Hundley,QB,2015
BM-0650,Baker,Mayfield,Baker Mayfield,QB,2018
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB,2004
CD-0300,Chase,Daniel,Chase Daniel,QB,2009
CK-0250,Case,Keenum,Case Keenum,QB,2012
CM-1500,Colt,McCoy,Colt McCoy,QB,2010
CN-0500,Cam,Newton,Cam Newton,QB,2011
CW-1425,Carson,Wentz,Carson Wentz,QB,2016
DB-2750,David,Blough,David Blough,QB,2019
DB-3800,Drew,Brees,Drew Brees,QB,2001
DC-0725,Derek,Carr,Derek Carr,QB,2014
DH-1912,Dwayne,Haskins,Dwayne Haskins,QB,2019
DH-3450,Devlin,Hodges,Devlin Hodges,QB,2019
DJ-2275,Daniel,Jones,Daniel Jones,QB,2019
DL-1787,Drew,Lock,Drew Lock,QB,2019
DP-2037,Dak,Prescott,Dak Prescott,QB,2016
DW-1725,Deshaun,Watson,Deshaun Watson,QB,2017
EM-0200,Eli,Manning,Eli Manning,QB,2004
GG-0310,Garrett,Gilbert,Garrett Gilbert,QB,2014
GM-1350,Gardner,Minshew,Gardner Minshew,QB,2019
JA-1087,Josh,Allen,Josh Allen,QB,2018
JB-5725,Jacoby,Brissett,Jacoby Brissett,QB,2016
JD-2850,Jeff,Driskel,Jeff Driskel,QB,2016
JF-1900,Joe,Flacco,Joe Flacco,QB,2008
JG-0650,Jimmy,Garoppolo,Jimmy Garoppolo,QB,2014
JG-1850,Jared,Goff,Jared Goff,QB,2016
JM-2900,Josh,McCown,Josh McCown,QB,2002
JR-3250,Josh,Rosen,Josh Rosen,QB,2018
JS-6787,Jarrett,Stidham,Jarrett Stidham,QB,2019
JW-5650,Jameis,Winston,Jameis Winston,QB,2015
KA-0737,Kyle,Allen,Kyle Allen,QB,2018
KC-2350,Kirk,Cousins,Kirk Cousins,QB,2012
KM-3500,Kyler,Murray,Kyler Murray,QB,2019
LF-0025,Luke,Falk,Luke Falk,QB,2018
LJ-0150,Lamar,Jackson,Lamar Jackson,QB,2018
MB-0450,Matt,Barkley,Matt Barkley,QB,2013
MG-0850,Mike,Glennon,Mike Glennon,QB,2013
MM-0912,Marcus,Mariota,Marcus Mariota,QB,2015
MM-4700,Matt,Moore,Matt Moore,QB,2007
MR-2350,Mason,Rudolph,Mason Rudolph,QB,2018
MR-2500,Matt,Ryan,Matt Ryan,QB,2008
MS-0200,Matt,Schaub,Matt Schaub,QB,2004
MS-4100,Matthew,Stafford,Matthew Stafford,QB,2009
MT-1800,Mitchell,Trubisky,Mitchell Trubisky,QB,2017
NF-0250,Nick,Foles,Nick Foles,QB,2012
NM-0687,Nick,Mullens,Nick Mullens,QB,2017
PM-0025,Patrick,Mahomes,Patrick Mahomes,QB,2017
PR-0300,Philip,Rivers,Philip Rivers,QB,2004
RF-0450,Ryan,Finley,Ryan Finley,QB,2019
RF-0500,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,2005
RG-1850,Robert,Griffin,Robert Griffin,QB,2012
RG-1885,Ryan,Griffin,Ryan Griffin,QB,2013
RT-0150,Ryan,Tannehill,Ryan Tannehill,QB,2012
RW-3850,Russell,Wilson,Russell Wilson,QB,2012
SD-0175,Sam,Darnold,Sam Darnold,QB,2018
SM-0425,Sean,Mannion,Sean Mannion,QB,2015
TB-2093,Tim,Boyle,Tim Boyle,QB,2018
TB-2300,Tom,Brady,Tom Brady,QB,2000
TB-2650,Teddy,Bridgewater,Teddy Bridgewater,QB,2014
TH-1625,Taysom,Hill,Taysom Hill,QB,2017
TM-2362,Trace,McSorley,Trace McSorley,QB,2019
TS-1450,Trevor,Siemian,Trevor Siemian,QB,2015
TT-0500,Tyrod,Taylor,Tyrod Taylor,QB,2011
WG-0750,Will,Grier,Will Grier,QB,2019
AA-0025,Ameer,Abdullah,Ameer Abdullah,RB,2015
AA-0557,Alex,Armah,Alex Armah,RB,2017
AB-1125,Andrew,Beck,Andrew Beck,RB,2019
AE-0550,Austin,Ekeler,Austin Ekeler,RB,2017
AI-0050,Alec,Ingold,Alec Ingold,RB,2019
AJ-0375,Andy,Janovich,Andy Janovich,RB,2016
AJ-1143,Aaron,Jones,Aaron Jones,RB,2017
AK-0050,Alvin,Kamara,Alvin Kamara,RB,2017
AM-0825,Alexander,Mattison,Alexander Mattison,RB,2019
AM-2850,Alfred,Morris,Alfred Morris,RB,2012
AP-0700,Adrian,Peterson,Adrian Peterson,RB,2007
AS-0900,Anthony,Sherman,Anthony Sherman,RB,2011
BB-2250,Brandon,Bolden,Brandon Bolden,RB,2012
BH-1225,Brian,Hill,Brian Hill,RB,2017
BP-1200,Bilal,Powell,Bilal Powell,RB,2011
BS-0825,Bo,Scarbrough,Bo Scarbrough,RB,2018
BS-1450,Boston,Scott,Boston Scott,RB,2018
BS-2950,Benny,Snell Jr.,Benny Snell Jr.,RB,2019
CA-0750,C.J.,Anderson,C.J. Anderson,RB,2013
CC-0750,Chris,Carson,Chris Carson,RB,2017
CC-2350,Corey,Clement,Corey Clement,RB,2017
CE-0175,Chase,Edmonds,Chase Edmonds,RB,2018
CG-1015,Cullen,Gillaspia,Cullen Gillaspia,RB,2019
CH-0525,C.J.,Ham,C.J. Ham,RB,2016
CH-5000,Carlos,Hyde,Carlos Hyde,RB,2014
CM-1225,Christian,McCaffrey,Christian McCaffrey,RB,2017
CP-2550,C.J.,Prosise,C.J. Prosise,RB,2016
CT-1220,Chris,Thompson,Chris Thompson,RB,2013
DB-2950,Devontae,Booker,Devontae Booker,RB,2016
DC-3550,Dalvin,Cook,Dalvin Cook,RB,2017
DD-0681,Dalyn,Dawkins,Dalyn Dawkins,RB,2018
DF-1375,D.J.,Foster,D.J. Foster,RB,2016
DF-1875,Devonta,Freeman,Devonta Freeman,RB,2014
DG-3200,Derrius,Guice,Derrius Guice,RB,2018
DH-1362,Damien,Harris,Damien Harris,RB,2019
DH-2325,Darrell,Henderson,Darrell Henderson,RB,2019
DH-2450,Derrick,Henry,Derrick Henry,RB,2016
DH-3137,Dontrell,Hilliard,Dontrell Hilliard,RB,2018
DJ-0887,D'Ernest,Johnson,D'Ernest Johnson,RB,2019
DJ-1325,David,Johnson,David Johnson,RB,2015
DJ-1850,Duke,Johnson,Duke Johnson,RB,2015
