player,first,last,name,position1,start,cteam,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,jnum,dcp
SF,San Francisco,49ers,San Francisco 49ers,DF,2000,SF,,,,,,,,,,,,,,,,
CHI,Chicago,Bears,Chicago Bears,DF,2000,CHI,,,,,,,,,,,,,,,,
CIN,Cincinnati,Bengals,Cincinnati Bengals,DF,2000,CIN,,,,,,,,,,,,,,,,
BUF,Buffalo,Bills,Buffalo Bills,DF,2000,BUF,,,,,,,,,,,,,,,,
DEN,Denver,Broncos,Denver Broncos,DF,2000,DEN,,,,,,,,,,,,,,,,
CLE,Cleveland,Browns,Cleveland Browns,DF,2000,CLE,,,,,,,,,,,,,,,,
TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,DF,2000,TB,,,,,,,,,,,,,,,,
ARI,Arizona,Cardinals,Arizona Cardinals,DF,2000,ARI,,,,,,,,,,,,,,,,
LAC,Los Angeles,Chargers,Los Angeles Chargers,DF,2000,LAC,,,,,,,,,,,,,,,,
KC,Kansas City,Chiefs,Kansas City Chiefs,DF,2000,KC,,,,,,,,,,,,,,,,
IND,Indianapolis,Colts,Indianapolis Colts,DF,2000,IND,,,,,,,,,,,,,,,,
DAL,Dallas,Cowboys,Dallas Cowboys,DF,2000,DAL,,,,,,,,,,,,,,,,
MIA,Miami,Dolphins,Miami Dolphins,DF,2000,MIA,,,,,,,,,,,,,,,,
PHI,Philadelphia,Eagles,Philadelphia Eagles,DF,2000,PHI,,,,,,,,,,,,,,,,
ATL,Atlanta,Falcons,Atlanta Falcons,DF,2000,ATL,,,,,,,,,,,,,,,,
NYG,New York,Giants,New York Giants,DF,2000,NYG,,,,,,,,,,,,,,,,
JAC,Jacksonville,Jaguars,Jacksonville Jaguars,DF,2000,JAC,,,,,,,,,,,,,,,,
NYJ,New York,Jets,New York Jets,DF,2000,NYJ,,,,,,,,,,,,,,,,
DET,Detroit,Lions,Detroit Lions,DF,2000,DET,,,,,,,,,,,,,,,,
GB,Green Bay,Packers,Green Bay Packers,DF,2000,GB,,,,,,,,,,,,,,,,
CAR,Carolina,Panthers,Carolina Panthers,DF,2000,CAR,,,,,,,,,,,,,,,,
NE,New England,Patriots,New England Patriots,DF,2000,NE,,,,,,,,,,,,,,,,
OAK,Oakland,Raiders,Oakland Raiders,DF,2000,OAK,,,,,,,,,,,,,,,,
LA,Los Angeles,Rams,Los Angeles Rams,DF,2000,LA,,,,,,,,,,,,,,,,
BAL,Baltimore,Ravens,Baltimore Ravens,DF,2000,BAL,,,,,,,,,,,,,,,,
WAS,Washington,Redskins,Washington Redskins,DF,2000,WAS,,,,,,,,,,,,,,,,
NO,New Orleans,Saints,New Orleans Saints,DF,2000,NO,,,,,,,,,,,,,,,,
SEA,Seattle,Seahawks,Seattle Seahawks,DF,2000,SEA,,,,,,,,,,,,,,,,
PIT,Pittsburgh,Steelers,Pittsburgh Steelers,DF,2000,PIT,,,,,,,,,,,,,,,,
HOU,Houston,Texans,Houston Texans,DF,2002,HOU,,,,,,,,,,,,,,,,
TEN,Tennessee,Titans,Tennessee Titans,DF,2000,TEN,,,,,,,,,,,,,,,,
