player,first,last,name,position1,start
AV-0400,Adam,Vinatieri,Adam Vinatieri,K,1996
MB-4600,Matt,Bryant,Matt Bryant,K,2002
RG-1500,Robbie,Gould,Robbie Gould,K,2005
MN-0800,Mike,Nugent,Mike Nugent,K,2005
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,2006
MP-2100,Matt,Prater,Matt Prater,K,2006
MC-3000,Mason,Crosby,Mason Crosby,K,2007
NF-0300,Nick,Folk,Nick Folk,K,2007
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,2008
RS-3400,Ryan,Succop,Ryan Succop,K,2009
DB-0200,Dan,Bailey,Dan Bailey,K,2011
KF-0250,Kai,Forbath,Kai Forbath,K,2011
RB-4650,Randy,Bullock,Randy Bullock,K,2012
JT-3950,Justin,Tucker,Justin Tucker,K,2012
GZ-2000,Greg,Zuerlein,Greg Zuerlein,K,2012
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,2013
BM-0062,Brett,Maher,Brett Maher,K,2013
BM-1650,Brandon,McManus,Brandon McManus,K,2013
CB-2275,Chris,Boswell,Chris Boswell,K,2014
CP-0575,Cody,Parkey,Cody Parkey,K,2014
CS-0250,Cairo,Santos,Cairo Santos,K,2014
JL-0207,Josh,Lambo,Josh Lambo,K,2015
TL-1062,Ty,Long,Ty Long,K,2015
JM-7000,Jason,Myers,Jason Myers,K,2015
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,2016
SF-0050,Sam,Ficken,Sam Ficken,K,2016
WL-0300,Wil,Lutz,Wil Lutz,K,2016
AR-1450,Aldrick,Rosas,Aldrick Rosas,K,2016
HB-0500,Harrison,Butker,Harrison Butker,K,2017
JE-0250,Jake,Elliott,Jake Elliott,K,2017
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,2017
YK-0100,Younghoe,Koo,Younghoe Koo,K,2017
MB-0020,Michael,Badgley,Michael Badgley,K,2018
DC-0450,Daniel,Carlson,Daniel Carlson,K,2018
GJ-1200,Greg,Joseph,Greg Joseph,K,2018
EP-0512,Eddy,Pineiro,Eddy Pineiro,K,2018
JS-0350,Jason,Sanders,Jason Sanders,K,2018
KV-0250,Kaare,Vedvik,Kaare Vedvik,K,2018
