player,first,last,name,position1,start
TB-2300,Tom,Brady,Tom Brady,QB,2000
DB-3800,Drew,Brees,Drew Brees,QB,2001
JM-2900,Josh,McCown,Josh McCown,QB,2002
BR-1100,Ben,Roethlisberger,Ben Roethlisberger,QB,2004
EM-0200,Eli,Manning,Eli Manning,QB,2004
MS-0200,Matt,Schaub,Matt Schaub,QB,2004
PR-0300,Philip,Rivers,Philip Rivers,QB,2004
AR-1300,Aaron,Rodgers,Aaron Rodgers,QB,2005
RF-0500,Ryan,Fitzpatrick,Ryan Fitzpatrick,QB,2005
MM-4700,Matt,Moore,Matt Moore,QB,2007
JF-1900,Joe,Flacco,Joe Flacco,QB,2008
MR-2500,Matt,Ryan,Matt Ryan,QB,2008
BH-1900,Brian,Hoyer,Brian Hoyer,QB,2009
CD-0300,Chase,Daniel,Chase Daniel,QB,2009
MS-4100,Matthew,Stafford,Matthew Stafford,QB,2009
CM-1500,Colt,McCoy,Colt McCoy,QB,2010
AD-0100,Andy,Dalton,Andy Dalton,QB,2011
CN-0500,Cam,Newton,Cam Newton,QB,2011
TT-0500,Tyrod,Taylor,Tyrod Taylor,QB,2011
AT-0160,Alex,Tanney,Alex Tanney,QB,2012
CK-0250,Case,Keenum,Case Keenum,QB,2012
KC-2350,Kirk,Cousins,Kirk Cousins,QB,2012
NF-0250,Nick,Foles,Nick Foles,QB,2012
RG-1850,Robert,Griffin,Robert Griffin,QB,2012
RT-0150,Ryan,Tannehill,Ryan Tannehill,QB,2012
RW-3850,Russell,Wilson,Russell Wilson,QB,2012
MB-0450,Matt,Barkley,Matt Barkley,QB,2013
MG-0850,Mike,Glennon,Mike Glennon,QB,2013
RG-1885,Ryan,Griffin,Ryan Griffin,QB,2013
AM-1150,A.J.,McCarron,A.J. McCarron,QB,2014
BB-2425,Blake,Bortles,Blake Bortles,QB,2014
DC-0725,Derek,Carr,Derek Carr,QB,2014
GG-0310,Garrett,Gilbert,Garrett Gilbert,QB,2014
JG-0650,Jimmy,Garoppolo,Jimmy Garoppolo,QB,2014
TB-2650,Teddy,Bridgewater,Teddy Bridgewater,QB,2014
BH-2300,Brett,Hundley,Brett Hundley,QB,2015
JW-5650,Jameis,Winston,Jameis Winston,QB,2015
MM-0912,Marcus,Mariota,Marcus Mariota,QB,2015
SM-0425,Sean,Mannion,Sean Mannion,QB,2015
TS-1450,Trevor,Siemian,Trevor Siemian,QB,2015
