player,first,last,name,position1,start,cteam,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,jnum,dcp,bye_week,injury_week
SF,San Francisco,49ers,San Francisco 49ers,DF,2000,SF,,,,,,,,,,,,,,,,,4,18
CHI,Chicago,Bears,Chicago Bears,DF,2000,CHI,,,,,,,,,,,,,,,,,6,18
CIN,Cincinnati,Bengals,Cincinnati Bengals,DF,2000,CIN,,,,,,,,,,,,,,,,,9,18
BUF,Buffalo,Bills,Buffalo Bills,DF,2000,BUF,,,,,,,,,,,,,,,,,6,18
DEN,Denver,Broncos,Denver Broncos,DF,2000,DEN,,,,,,,,,,,,,,,,,10,18
CLE,Cleveland,Browns,Cleveland Browns,DF,2000,CLE,,,,,,,,,,,,,,,,,7,18
TB,Tampa Bay,Buccaneers,Tampa Bay Buccaneers,DF,2000,TB,,,,,,,,,,,,,,,,,7,18
ARI,Arizona,Cardinals,Arizona Cardinals,DF,2000,ARI,,,,,,,,,,,,,,,,,12,18
LAC,Los Angeles,Chargers,Los Angeles Chargers,DF,2000,LAC,,,,,,,,,,,,,,,,,12,18
KC,Kansas City,Chiefs,Kansas City Chiefs,DF,2000,KC,,,,,,,,,,,,,,,,,12,18
IND,Indianapolis,Colts,Indianapolis Colts,DF,2000,IND,,,,,,,,,,,,,,,,,6,18
DAL,Dallas,Cowboys,Dallas Cowboys,DF,2000,DAL,,,,,,,,,,,,,,,,,8,18
MIA,Miami,Dolphins,Miami Dolphins,DF,2000,MIA,,,,,,,,,,,,,,,,,5,18
PHI,Philadelphia,Eagles,Philadelphia Eagles,DF,2000,PHI,,,,,,,,,,,,,,,,,10,18
ATL,Atlanta,Falcons,Atlanta Falcons,DF,2000,ATL,,,,,,,,,,,,,,,,,9,18
NYG,New York,Giants,New York Giants,DF,2000,NYG,,,,,,,,,,,,,,,,,11,18
JAC,Jacksonville,Jaguars,Jacksonville Jaguars,DF,2000,JAC,,,,,,,,,,,,,,,,,10,18
NYJ,New York,Jets,New York Jets,DF,2000,NYJ,,,,,,,,,,,,,,,,,4,18
DET,Detroit,Lions,Detroit Lions,DF,2000,DET,,,,,,,,,,,,,,,,,5,18
GB,Green Bay,Packers,Green Bay Packers,DF,2000,GB,,,,,,,,,,,,,,,,,11,18
CAR,Carolina,Panthers,Carolina Panthers,DF,2000,CAR,,,,,,,,,,,,,,,,,7,18
NE,New England,Patriots,New England Patriots,DF,2000,NE,,,,,,,,,,,,,,,,,10,18
OAK,Oakland,Raiders,Oakland Raiders,DF,2000,OAK,,,,,,,,,,,,,,,,,6,18
LA,Los Angeles,Rams,Los Angeles Rams,DF,2000,LA,,,,,,,,,,,,,,,,,9,18
BAL,Baltimore,Ravens,Baltimore Ravens,DF,2000,BAL,,,,,,,,,,,,,,,,,8,18
WAS,Washington,Redskins,Washington Redskins,DF,2000,WAS,,,,,,,,,,,,,,,,,10,18
NO,New Orleans,Saints,New Orleans Saints,DF,2000,NO,,,,,,,,,,,,,,,,,9,18
SEA,Seattle,Seahawks,Seattle Seahawks,DF,2000,SEA,,,,,,,,,,,,,,,,,11,18
PIT,Pittsburgh,Steelers,Pittsburgh Steelers,DF,2000,PIT,,,,,,,,,,,,,,,,,7,18
HOU,Houston,Texans,Houston Texans,DF,2002,HOU,,,,,,,,,,,,,,,,,10,18
TEN,Tennessee,Titans,Tennessee Titans,DF,2000,TEN,,,,,,,,,,,,,,,,,11,18
MIN,Minnesota,Vikings,Minnesota Vikings,DF,2000,MIN,,,,,,,,,,,,,,,,,12,18
MB-0020,Michael,Badgley,Michael Badgley,K,2018,LAC,70.0,186.0,7/28/95,4.94,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,Miami (FL),Atlantic Coast (ACC),4.0,1.0,12,4
DB-0200,Dan,Bailey,Dan Bailey,K,2011,MIN,72.0,189.0,1/26/88,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oklahoma State,Big 12,5.0,1.0,12,18
CB-2275,Chris,Boswell,Chris Boswell,K,2014,PIT,74.0,185.0,3/16/91,4.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rice,Conference USA (C-USA),9.0,1.0,7,18
MB-4600,Matt,Bryant,Matt Bryant,K,2002,ATL,69.0,200.0,5/29/75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baylor,Big 12,0.0,0.0,9,18
RB-4650,Randy,Bullock,Randy Bullock,K,2012,CIN,69.0,205.0,12/16/89,0.0,0.0,0.0,0.0,0.0,0.0,29.25,8.375,161.0,Texas A&M,Big 12,4.0,1.0,9,18
HB-0500,Harrison,Butker,Harrison Butker,K,2017,KC,76.0,199.0,7/14/95,4.93,0.0,0.0,0.0,0.0,0.0,31.75,8.75,233.0,Georgia Tech,Atlantic Coast (ACC),7.0,1.0,12,18
DC-0450,Daniel,Carlson,Daniel Carlson,K,2018,OAK,77.0,213.0,1/23/95,4.96,0.0,0.0,0.0,0.0,0.0,32.0,9.75,167.0,Auburn,Southeastern (SEC),8.0,1.0,6,18
MC-3000,Mason,Crosby,Mason Crosby,K,2007,GB,73.0,207.0,9/3/84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,Colorado,Big 12,2.0,1.0,11,18
JE-0250,Jake,Elliott,Jake Elliott,K,2017,PHI,69.0,167.0,1/21/95,4.79,0.0,0.0,0.0,0.0,0.0,29.0,9.0,153.0,Memphis,American Athletic,4.0,1.0,10,18
KF-0075,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,2016,HOU,71.0,182.0,1/29/94,4.96,0.0,0.0,0.0,0.0,7.75,0.0,0.0,0.0,UCLA,Pacific 12,7.0,1.0,10,18
SF-0050,Sam,Ficken,Sam Ficken,K,2016,NYJ,74.0,186.0,12/14/92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Penn State,Big Ten,9.0,1.0,4,18
NF-0300,Nick,Folk,Nick Folk,K,2007,NE,73.0,222.0,11/5/84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,Arizona,Pacific 10,2.0,1.0,10,18
KF-0250,Kai,Forbath,Kai Forbath,K,2011,DAL,71.0,191.0,9/2/87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UCLA,Pacific 10,3.0,1.0,8,18
MG-0306,Matt,Gay,Matt Gay,K,2019,TB,72.0,232.0,3/15/94,5.2,0.0,0.0,0.0,0.0,0.0,30.5,9.0,145.0,Utah,Pacific 12,9.0,1.0,7,18
ZG-0050,Zane,Gonzalez,Zane Gonzalez,K,2017,ARI,72.0,202.0,5/7/95,4.91,0.0,0.0,0.0,0.0,0.0,29.5,9.0,224.0,Arizona State,Pacific 12,5.0,1.0,12,18
SG-0800,Stephen,Gostkowski,Stephen Gostkowski,K,2006,NE,73.0,215.0,1/28/84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,Memphis,Conference USA (C-USA),3.0,2.0,10,5
RG-1500,Robbie,Gould,Robbie Gould,K,2005,SF,72.0,185.0,12/6/81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Penn State,Big Ten,9.0,1.0,4,18
SH-0400,Stephen,Hauschka,Stephen Hauschka,K,2008,BUF,76.0,210.0,6/29/85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,North Carolina State,Atlantic Coast (ACC),4.0,1.0,6,18
DH-3970,Dustin,Hopkins,Dustin Hopkins,K,2013,WAS,74.0,193.0,10/1/90,4.71,0.0,33.5,116.0,0.0,0.0,31.75,8.875,177.0,Florida State,Atlantic Coast (ACC),3.0,1.0,10,18
GJ-1200,Greg,Joseph,Greg Joseph,K,2018,TEN,73.0,210.0,8/4/94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida Atlantic,Conference USA (C-USA),7.0,2.0,11,18
YK-0100,Younghoe,Koo,Younghoe Koo,K,2017,ATL,70.0,190.0,8/3/94,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Georgia Southern,Sun Belt,7.0,1.0,9,18
JL-0207,Josh,Lambo,Josh Lambo,K,2015,JAC,71.0,220.0,11/19/90,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas A&M,Southeastern (SEC),4.0,1.0,10,18
TL-1062,Ty,Long,Ty Long,K,2015,LAC,74.0,205.0,4/6/93,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alabama-Birmingham,Conference USA (C-USA),1.0,1.0,12,18
WL-0300,Wil,Lutz,Wil Lutz,K,2016,NO,72.0,190.0,7/7/94,5.02,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Georgia State,Sun Belt,3.0,1.0,9,18
BM-0062,Brett,Maher,Brett Maher,K,2013,NYJ,72.0,186.0,11/21/89,0.0,0.0,0.0,0.0,0.0,0.0,31.625,9.125,0.0,Nebraska,Big Ten,0.0,2.0,4,18
CM-2137,Chase,McLaughlin,Chase McLaughlin,K,2019,IND,73.0,190.0,4/9/96,4.97,0.0,0.0,0.0,0.0,0.0,29.625,9.25,0.0,Illinois,Big Ten,5.0,1.0,6,18
BM-1650,Brandon,McManus,Brandon McManus,K,2013,DEN,75.0,201.0,7/25/91,4.9,8.0,27.5,0.0,4.63,6.82,0.0,0.0,0.0,Temple,Big East,8.0,1.0,10,18
JM-7000,Jason,Myers,Jason Myers,K,2015,SEA,71.0,190.0,5/12/91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marist,0,5.0,1.0,11,18
MN-0800,Mike,Nugent,Mike Nugent,K,2005,NE,70.0,190.0,3/2/82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,Ohio State,Big Ten,0.0,0.0,10,18
CP-0575,Cody,Parkey,Cody Parkey,K,2014,TEN,72.0,189.0,2/19/92,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Auburn,Southeastern (SEC),0.0,0.0,11,18
EP-0512,Eddy,Pineiro,Eddy Pineiro,K,2018,CHI,72.0,185.0,9/13/95,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida,Southeastern (SEC),15.0,1.0,6,18
MP-2100,Matt,Prater,Matt Prater,K,2006,DET,70.0,187.0,8/10/84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central Florida,Conference USA (C-USA),5.0,1.0,5,18
AR-1450,Aldrick,Rosas,Aldrick Rosas,K,2016,NYG,74.0,195.0,12/30/94,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southern Oregon,0,2.0,1.0,11,18
JS-0350,Jason,Sanders,Jason Sanders,K,2018,MIA,71.0,184.0,11/16/95,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,New Mexico,Mountain West (MWC),7.0,1.0,5,18
CS-0250,Cairo,Santos,Cairo Santos,K,2014,TEN,68.0,164.0,11/12/91,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tulane,Conference USA (C-USA),0.0,0.0,11,18
AS-0575,Austin,Seibert,Austin Seibert,K,2019,CLE,69.0,209.0,11/15/96,5.14,0.0,0.0,0.0,0.0,0.0,30.375,8.875,170.0,Oklahoma,Big 12,4.0,1.0,7,18
JS-3825,Joey,Slye,Joey Slye,K,2019,CAR,71.0,210.0,4/10/96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Virginia Tech,Atlantic Coast (ACC),4.0,1.0,7,18
RS-3400,Ryan,Succop,Ryan Succop,K,2009,TEN,75.0,218.0,9/19/86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,South Carolina,Southeastern (SEC),4.0,5.0,11,1
JT-3950,Justin,Tucker,Justin Tucker,K,2012,BAL,72.0,180.0,11/21/89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Texas,Big 12,9.0,1.0,8,18
